,StudentId,AssessmentGrade,GE-Grade,GE-Grade_MAX
1377,15183,6,-3.9,-3.6
1378,15184,7,4.64,6.0
1379,15184,8,4.8,4.8
1380,15192,5,-1.5,-1.1
1381,15216,5,1.525,3.0
1382,15216,6,3.2,3.2
1383,15226,6,0.45,1.1
1384,15233,5,-1.92857142857,-0.9
1385,15236,5,1.3,1.8
1386,15236,6,-0.1,-0.1
1387,15241,5,0.55,0.7
1388,15241,6,0.4,0.4
1389,15273,5,-0.4,-0.4
1390,15275,5,-2.8,-2.8
1391,15276,5,0.6,0.6
1392,15277,5,2.2,2.2
1393,15278,5,-3.0,-3.0
1394,15279,5,-0.7,-0.7
1395,15280,5,-3.4,-3.4
1396,15281,5,-2.9,-2.9
1397,15282,5,1.0,1.0
1398,15285,5,1.2,1.2
1399,15286,5,-3.0,-3.0
1400,15288,5,-1.6,-1.6
1401,15292,5,-0.9,-0.9
1402,15297,5,-2.2,-2.2
1403,15303,5,-2.2,-2.2
1404,15304,5,-0.7,-0.7
1405,15305,5,-1.8,-1.8
1406,15306,5,-1.6,-1.6
1407,15307,5,-0.4,-0.4
1408,15309,6,-0.1,-0.1
1409,15311,5,-1.6,-1.6
1410,15312,5,-2.6,-2.6
1411,15313,5,2.9,2.9
1412,15314,5,-0.1,-0.1
1413,15315,5,0.5,0.5
1414,15316,5,-1.1,-1.1
1415,15318,5,-2.2,-2.2
1416,15319,5,-3.6,-3.6
1417,15321,5,-0.5,-0.5
1418,15322,5,-2.5,-2.5
1419,15324,5,-1.0,-1.0
1420,15327,5,-3.3,-3.3
1421,15330,5,-2.8,-2.8
1422,15331,5,-2.0,-2.0
1423,15332,5,-0.4,-0.4
1424,15333,5,0.1,0.1
1425,15335,6,-1.5,-1.5
1426,15336,5,0.1,0.1
1427,15337,5,-2.4,-2.4
1428,15338,5,0.3,1.0
1429,15339,5,-0.7,-0.7
1430,15340,5,-3.5,-3.5
1431,15342,5,-2.7,-2.7
1432,15343,5,-2.5,-2.5
1433,15344,5,-0.5,-0.5
1434,15345,5,0.7,0.7
1435,15346,5,1.0,1.0
1436,15347,5,2.0,2.0
1437,15348,5,-3.8,-3.8
1438,15349,5,3.0,3.0
1439,15350,5,-2.6,-2.6
1440,15352,5,-1.4,-1.4
1441,15353,5,-0.8,-0.8
1442,15354,5,-2.7,-2.7
1443,15355,5,-2.6,-2.6
1444,15357,5,-2.8,-2.8
1445,15358,5,-1.9,-1.9
1446,15359,5,-1.1,-1.1
1447,15360,5,-2.1,-2.1
1448,15361,5,-3.0,-3.0
1449,15362,5,-0.6,-0.6
1450,15363,5,-1.3,-1.3
1451,15364,5,-0.8,-0.8
1452,15365,5,-2.3,-2.3
1453,15367,5,-1.8,-1.8
1454,15368,5,2.9,2.9
1455,15369,5,2.8,2.8
1456,15371,5,-0.9,-0.9
1457,15373,5,-1.3,-1.3
1458,15374,5,-1.5,-1.5
1459,15376,5,0.6,0.6
1460,15378,5,0.7,0.7
1461,15380,5,-2.1,-2.1
1462,15381,5,-2.8,-2.8
1463,15383,5,-1.1,-1.1
1464,15385,5,0.3,0.3
1465,15386,5,-3.2,-3.2
1466,15388,5,-3.0,-3.0
1467,15389,5,-3.4,-3.4
1468,15390,5,-0.4,-0.4
1469,15393,5,-1.8,-1.8
1470,15394,5,-1.9,-1.9
1471,15395,5,-0.3,-0.3
1472,15396,5,0.1,0.1
1473,15397,5,-1.1,-1.1
1474,15398,5,-0.2,-0.2
1475,15399,5,-2.7,-2.7
1476,15400,5,-1.9,-1.9
1477,15401,5,-1.2,-1.2
1478,15402,5,-1.8,-1.8
1479,15403,5,-3.2,-3.2
1480,15404,5,0.0,0.0
1481,15405,5,-2.7,-2.7
1482,15419,5,-2.1,-2.1
1483,15423,5,2.0,2.0
1484,15425,5,-2.6,-2.6
1485,15427,5,-2.6,-2.6
1486,15429,5,-0.9,-0.3
1487,15432,5,-2.6,-2.6
1488,15434,5,0.8,0.8
1489,15436,5,0.2,0.2
1490,15438,5,-0.3,-0.3
1491,15440,5,-1.8,-1.8
1492,15442,5,2.4,2.4
1493,15443,7,-2.7,-2.7
1494,15444,7,-1.9,-1.9
1495,15446,6,-4.1,-4.1
1496,15450,6,-1.7,-1.7
1497,15452,5,-2.7,-2.7
1498,15456,6,-2.75,-2.4
1499,15458,6,-1.6,-1.6
1500,15459,6,-3.3,-2.9
1501,15462,5,-0.2,-0.2
