,year,student_id,absence_rate,total
508,2016,13535,0.0344827586207,29
509,2012,3082,0.0869565217391,23
510,2013,6497,0.016393442623,183
511,2016,16326,0.0,30
512,2015,14817,0.0462427745665,173
513,2016,14039,0.0,25
514,2016,10199,0.0,29
515,2015,7119,0.0114285714286,175
516,2016,11227,0.0,29
517,2016,16253,0.0,29
518,2016,11855,0.0,28
519,2012,3120,0.325581395349,43
520,2013,11862,0.00558659217877,179
521,2014,13280,0.0236686390533,169
522,2016,15906,0.0,28
523,2016,10217,0.0,29
524,2016,15404,0.0689655172414,29
525,2016,16477,0.0,29
526,2014,3274,0.0113636363636,176
527,2013,3450,0.0171428571429,175
528,2015,11377,0.0228571428571,175
529,2013,6676,0.00574712643678,174
530,2014,13065,0.0457142857143,175
531,2016,13601,0.0333333333333,30
532,2013,6673,0.0224719101124,178
533,2016,15242,0.0740740740741,27
534,2014,13177,0.0342857142857,175
535,2016,14108,0.217391304348,23
536,2016,15798,0.0,29
537,2012,3488,0.5,4
538,2013,11856,0.0,179
539,2015,15253,0.04,75
540,2015,14689,0.0177514792899,169
541,2015,14257,0.0,165
542,2016,11285,0.0689655172414,29
543,2016,6953,0.0,29
544,2015,12789,0.355263157895,76
545,2016,11441,0.0,29
546,2016,15061,0.0,29
547,2014,3281,0.0114285714286,175
548,2014,6355,0.027027027027,185
549,2015,6592,0.00621118012422,161
550,2012,3339,0.6,10
551,2014,11764,0.0294117647059,68
552,2013,2528,0.131428571429,175
553,2013,10720,0.0292397660819,171
554,2014,11913,0.00564971751412,177
555,2014,13094,0.0457142857143,175
556,2016,16681,0.0,29
557,2015,15065,0.0242424242424,165
558,2016,16554,0.0357142857143,28
559,2015,7094,0.00588235294118,170
560,2013,7100,0.0282485875706,177
561,2014,3240,0.0457142857143,175
562,2016,11252,0.0,29
563,2016,6736,0.153846153846,26
564,2013,11801,0.0279329608939,179
565,2014,12780,0.0113636363636,176
566,2013,3389,0.00571428571429,175
567,2015,3124,0.0,175
568,2015,15116,0.0,169
569,2013,6718,0.0,179
570,2016,16162,0.0357142857143,28
571,2016,6373,0.0,28
572,2015,14581,0.0,173
573,2013,10838,0.0164835164835,182
574,2014,11986,0.0232558139535,172
575,2015,13398,0.0191082802548,157
576,2015,13554,0.0126582278481,158
577,2015,11647,0.0755813953488,172
578,2016,13963,0.103448275862,29
579,2012,6958,1.0,2
580,2013,11979,0.0733333333333,150
581,2014,6408,0.0869565217391,184
582,2012,6406,1.0,5
583,2015,14026,0.00574712643678,174
584,2016,13543,0.0,29
585,2013,7165,0.0,183
586,2015,14561,0.078313253012,166
587,2016,7179,0.0,29
588,2015,6457,0.0114942528736,174
589,2013,11996,0.0469798657718,149
590,2014,11532,0.0,174
591,2015,12509,0.0171428571429,175
592,2016,11296,0.0,28
593,2015,11333,0.0,174
594,2013,11518,0.0280898876404,178
595,2016,15810,0.0,29
596,2016,15796,0.0,27
597,2016,11845,0.0,30
598,2016,16892,0.0,22
